TRACK_ID|NAME|ALBUM|ARTIST_NAME|COMPOSER|MILLISECONDS|GENRE|MEDIA_TYPE
27|Dude (Looks Like A Lady)|Big Ones|Aerosmith|Steven Tyler, Joe Perry, Desmond Child|264855|Rock|MPEG audio file
28|Janie's Got A Gun|Big Ones|Aerosmith|Steven Tyler, Tom Hamilton|330736|Rock|MPEG audio file
29|Cryin'|Big Ones|Aerosmith|Steven Tyler, Joe Perry, Taylor Rhodes|309263|Rock|MPEG audio file
30|Amazing|Big Ones|Aerosmith|Steven Tyler, Richie Supa|356519|Rock|MPEG audio file
31|Blind Man|Big Ones|Aerosmith|Steven Tyler, Joe Perry, Taylor Rhodes|240718|Rock|MPEG audio file
32|Deuces Are Wild|Big Ones|Aerosmith|Steven Tyler, Jim Vallance|215875|Rock|MPEG audio file
33|The Other Side|Big Ones|Aerosmith|Steven Tyler, Jim Vallance|244375|Rock|MPEG audio file
34|Crazy|Big Ones|Aerosmith|Steven Tyler, Joe Perry, Desmond Child|316656|Rock|MPEG audio file
35|Eat The Rich|Big Ones|Aerosmith|Steven Tyler, Joe Perry, Jim Vallance|251036|Rock|MPEG audio file
36|Angel|Big Ones|Aerosmith|Steven Tyler, Desmond Child|307617|Rock|MPEG audio file
37|Livin' On The Edge|Big Ones|Aerosmith|Steven Tyler, Joe Perry, Mark Hudson|381231|Rock|MPEG audio file
38|All I Really Want|Jagged Little Pill|Alanis Morissette|Alanis Morissette & Glenn Ballard|284891|Rock|MPEG audio file
39|You Oughta Know|Jagged Little Pill|Alanis Morissette|Alanis Morissette & Glenn Ballard|249234|Rock|MPEG audio file
40|Perfect|Jagged Little Pill|Alanis Morissette|Alanis Morissette & Glenn Ballard|188133|Rock|MPEG audio file
41|Hand In My Pocket|Jagged Little Pill|Alanis Morissette|Alanis Morissette & Glenn Ballard|221570|Rock|MPEG audio file
42|Right Through You|Jagged Little Pill|Alanis Morissette|Alanis Morissette & Glenn Ballard|176117|Rock|MPEG audio file
43|Forgiven|Jagged Little Pill|Alanis Morissette|Alanis Morissette & Glenn Ballard|300355|Rock|MPEG audio file
44|You Learn|Jagged Little Pill|Alanis Morissette|Alanis Morissette & Glenn Ballard|239699|Rock|MPEG audio file
45|Head Over Feet|Jagged Little Pill|Alanis Morissette|Alanis Morissette & Glenn Ballard|267493|Rock|MPEG audio file
46|Mary Jane|Jagged Little Pill|Alanis Morissette|Alanis Morissette & Glenn Ballard|280607|Rock|MPEG audio file
47|Ironic|Jagged Little Pill|Alanis Morissette|Alanis Morissette & Glenn Ballard|229825|Rock|MPEG audio file
48|Not The Doctor|Jagged Little Pill|Alanis Morissette|Alanis Morissette & Glenn Ballard|227631|Rock|MPEG audio file
49|Wake Up|Jagged Little Pill|Alanis Morissette|Alanis Morissette & Glenn Ballard|293485|Rock|MPEG audio file
50|You Oughta Know (Alternate)|Jagged Little Pill|Alanis Morissette|Alanis Morissette & Glenn Ballard|491885|Rock|MPEG audio file
51|We Die Young|Facelift|Alice In Chains|Jerry Cantrell|152084|Rock|MPEG audio file
52|Man In The Box|Facelift|Alice In Chains|Jerry Cantrell, Layne Staley|286641|Rock|MPEG audio file
53|Sea Of Sorrow|Facelift|Alice In Chains|Jerry Cantrell|349831|Rock|MPEG audio file
54|Bleed The Freak|Facelift|Alice In Chains|Jerry Cantrell|241946|Rock|MPEG audio file
55|I Can't Remember|Facelift|Alice In Chains|Jerry Cantrell, Layne Staley|222955|Rock|MPEG audio file
56|Love, Hate, Love|Facelift|Alice In Chains|Jerry Cantrell, Layne Staley|387134|Rock|MPEG audio file
57|It Ain't Like That|Facelift|Alice In Chains|Jerry Cantrell, Michael Starr, Sean Kinney|277577|Rock|MPEG audio file
58|Sunshine|Facelift|Alice In Chains|Jerry Cantrell|284969|Rock|MPEG audio file
59|Put You Down|Facelift|Alice In Chains|Jerry Cantrell|196231|Rock|MPEG audio file
60|Confusion|Facelift|Alice In Chains|Jerry Cantrell, Michael Starr, Layne Staley|344163|Rock|MPEG audio file
61|I Know Somethin (Bout You)|Facelift|Alice In Chains|Jerry Cantrell|261955|Rock|MPEG audio file
62|Real Thing|Facelift|Alice In Chains|Jerry Cantrell, Layne Staley|243879|Rock|MPEG audio file
63|Desafinado|Warner 25 Anos|Antônio Carlos Jobim||185338|Jazz|MPEG audio file
64|Garota De Ipanema|Warner 25 Anos|Antônio Carlos Jobim||285048|Jazz|MPEG audio file
65|Samba De Uma Nota Só (One Note Samba)|Warner 25 Anos|Antônio Carlos Jobim||137273|Jazz|MPEG audio file
66|Por Causa De Você|Warner 25 Anos|Antônio Carlos Jobim||169900|Jazz|MPEG audio file
67|Ligia|Warner 25 Anos|Antônio Carlos Jobim||251977|Jazz|MPEG audio file
68|Fotografia|Warner 25 Anos|Antônio Carlos Jobim||129227|Jazz|MPEG audio file
69|Dindi (Dindi)|Warner 25 Anos|Antônio Carlos Jobim||253178|Jazz|MPEG audio file
70|Se Todos Fossem Iguais A Você (Instrumental)|Warner 25 Anos|Antônio Carlos Jobim||134948|Jazz|MPEG audio file
71|Falando De Amor|Warner 25 Anos|Antônio Carlos Jobim||219663|Jazz|MPEG audio file
72|Angela|Warner 25 Anos|Antônio Carlos Jobim||169508|Jazz|MPEG audio file
73|Corcovado (Quiet Nights Of Quiet Stars)|Warner 25 Anos|Antônio Carlos Jobim||205662|Jazz|MPEG audio file
74|Outra Vez|Warner 25 Anos|Antônio Carlos Jobim||126511|Jazz|MPEG audio file
75|O Boto (Bôto)|Warner 25 Anos|Antônio Carlos Jobim||366837|Jazz|MPEG audio file
76|Canta, Canta Mais|Warner 25 Anos|Antônio Carlos Jobim||271856|Jazz|MPEG audio file
77|Enter Sandman|Plays Metallica By Four Cellos|Apocalyptica|Apocalyptica|221701|Metal|MPEG audio file
78|Master Of Puppets|Plays Metallica By Four Cellos|Apocalyptica|Apocalyptica|436453|Metal|MPEG audio file
79|Harvester Of Sorrow|Plays Metallica By Four Cellos|Apocalyptica|Apocalyptica|374543|Metal|MPEG audio file
80|The Unforgiven|Plays Metallica By Four Cellos|Apocalyptica|Apocalyptica|322925|Metal|MPEG audio file
81|Sad But True|Plays Metallica By Four Cellos|Apocalyptica|Apocalyptica|288208|Metal|MPEG audio file
82|Creeping Death|Plays Metallica By Four Cellos|Apocalyptica|Apocalyptica|308035|Metal|MPEG audio file
83|Wherever I May Roam|Plays Metallica By Four Cellos|Apocalyptica|Apocalyptica|369345|Metal|MPEG audio file
84|Welcome Home (Sanitarium)|Plays Metallica By Four Cellos|Apocalyptica|Apocalyptica|350197|Metal|MPEG audio file
85|Cochise|Audioslave|Audioslave|Audioslave/Chris Cornell|222380|Rock|MPEG audio file
86|Show Me How to Live|Audioslave|Audioslave|Audioslave/Chris Cornell|277890|Rock|MPEG audio file
87|Gasoline|Audioslave|Audioslave|Audioslave/Chris Cornell|279457|Rock|MPEG audio file
88|What You Are|Audioslave|Audioslave|Audioslave/Chris Cornell|249391|Rock|MPEG audio file
89|Like a Stone|Audioslave|Audioslave|Audioslave/Chris Cornell|294034|Rock|MPEG audio file
90|Set It Off|Audioslave|Audioslave|Audioslave/Chris Cornell|263262|Rock|MPEG audio file
91|Shadow on the Sun|Audioslave|Audioslave|Audioslave/Chris Cornell|343457|Rock|MPEG audio file
92|I am the Highway|Audioslave|Audioslave|Audioslave/Chris Cornell|334942|Rock|MPEG audio file
93|Exploder|Audioslave|Audioslave|Audioslave/Chris Cornell|206053|Rock|MPEG audio file
94|Hypnotize|Audioslave|Audioslave|Audioslave/Chris Cornell|206628|Rock|MPEG audio file
95|Bring'em Back Alive|Audioslave|Audioslave|Audioslave/Chris Cornell|329534|Rock|MPEG audio file
96|Light My Way|Audioslave|Audioslave|Audioslave/Chris Cornell|303595|Rock|MPEG audio file
97|Getaway Car|Audioslave|Audioslave|Audioslave/Chris Cornell|299598|Rock|MPEG audio file
98|The Last Remaining Light|Audioslave|Audioslave|Audioslave/Chris Cornell|317492|Rock|MPEG audio file
99|Your Time Has Come|Out Of Exile|Audioslave|Cornell, Commerford, Morello, Wilk|255529|Alternative & Punk|MPEG audio file
100|Out Of Exile|Out Of Exile|Audioslave|Cornell, Commerford, Morello, Wilk|291291|Alternative & Punk|MPEG audio file
101|Be Yourself|Out Of Exile|Audioslave|Cornell, Commerford, Morello, Wilk|279484|Alternative & Punk|MPEG audio file
102|Doesn't Remind Me|Out Of Exile|Audioslave|Cornell, Commerford, Morello, Wilk|255869|Alternative & Punk|MPEG audio file
103|Drown Me Slowly|Out Of Exile|Audioslave|Cornell, Commerford, Morello, Wilk|233691|Alternative & Punk|MPEG audio file
104|Heaven's Dead|Out Of Exile|Audioslave|Cornell, Commerford, Morello, Wilk|276688|Alternative & Punk|MPEG audio file
105|The Worm|Out Of Exile|Audioslave|Cornell, Commerford, Morello, Wilk|237714|Alternative & Punk|MPEG audio file
106|Man Or Animal|Out Of Exile|Audioslave|Cornell, Commerford, Morello, Wilk|233195|Alternative & Punk|MPEG audio file
107|Yesterday To Tomorrow|Out Of Exile|Audioslave|Cornell, Commerford, Morello, Wilk|273763|Alternative & Punk|MPEG audio file
108|Dandelion|Out Of Exile|Audioslave|Cornell, Commerford, Morello, Wilk|278125|Alternative & Punk|MPEG audio file
109|#1 Zero|Out Of Exile|Audioslave|Cornell, Commerford, Morello, Wilk|299102|Alternative & Punk|MPEG audio file
110|The Curse|Out Of Exile|Audioslave|Cornell, Commerford, Morello, Wilk|309786|Alternative & Punk|MPEG audio file
111|Money|BackBeat Soundtrack|BackBeat|Berry Gordy, Jr./Janie Bradford|147591|Rock And Roll|MPEG audio file
112|Long Tall Sally|BackBeat Soundtrack|BackBeat|"Enotris Johnson/Little Richard/Robert ""Bumps"" Blackwell"|106396|Rock And Roll|MPEG audio file
113|Bad Boy|BackBeat Soundtrack|BackBeat|Larry Williams|116088|Rock And Roll|MPEG audio file
114|Twist And Shout|BackBeat Soundtrack|BackBeat|Bert Russell/Phil Medley|161123|Rock And Roll|MPEG audio file
115|Please Mr. Postman|BackBeat Soundtrack|BackBeat|Brian Holland/Freddie Gorman/Georgia Dobbins/Robert Bateman/William Garrett|137639|Rock And Roll|MPEG audio file
116|C'Mon Everybody|BackBeat Soundtrack|BackBeat|Eddie Cochran/Jerry Capehart|140199|Rock And Roll|MPEG audio file
117|Rock 'N' Roll Music|BackBeat Soundtrack|BackBeat|Chuck Berry|141923|Rock And Roll|MPEG audio file
118|Slow Down|BackBeat Soundtrack|BackBeat|Larry Williams|163265|Rock And Roll|MPEG audio file
119|Roadrunner|BackBeat Soundtrack|BackBeat|Bo Diddley|143595|Rock And Roll|MPEG audio file
120|Carol|BackBeat Soundtrack|BackBeat|Chuck Berry|143830|Rock And Roll|MPEG audio file
121|Good Golly Miss Molly|BackBeat Soundtrack|BackBeat|Little Richard|106266|Rock And Roll|MPEG audio file
122|20 Flight Rock|BackBeat Soundtrack|BackBeat|Ned Fairchild|107807|Rock And Roll|MPEG audio file
123|Quadrant|The Best Of Billy Cobham|Billy Cobham|Billy Cobham|261851|Jazz|MPEG audio file
124|Snoopy's search-Red baron|The Best Of Billy Cobham|Billy Cobham|Billy Cobham|456071|Jazz|MPEG audio file
125|"Spanish moss-""A sound portrait""-Spanish moss"|The Best Of Billy Cobham|Billy Cobham|Billy Cobham|248084|Jazz|MPEG audio file
126|Moon germs|The Best Of Billy Cobham|Billy Cobham|Billy Cobham|294060|Jazz|MPEG audio file
127|Stratus|The Best Of Billy Cobham|Billy Cobham|Billy Cobham|582086|Jazz|MPEG audio file
128|The pleasant pheasant|The Best Of Billy Cobham|Billy Cobham|Billy Cobham|318066|Jazz|MPEG audio file
129|Solo-Panhandler|The Best Of Billy Cobham|Billy Cobham|Billy Cobham|246151|Jazz|MPEG audio file
130|Do what cha wanna|The Best Of Billy Cobham|Billy Cobham|George Duke|274155|Jazz|MPEG audio file
131|Intro/ Low Down|Alcohol Fueled Brewtality Live! [Disc 1]|Black Label Society||323683|Metal|MPEG audio file
132|13 Years Of Grief|Alcohol Fueled Brewtality Live! [Disc 1]|Black Label Society||246987|Metal|MPEG audio file
133|Stronger Than Death|Alcohol Fueled Brewtality Live! [Disc 1]|Black Label Society||300747|Metal|MPEG audio file
134|All For You|Alcohol Fueled Brewtality Live! [Disc 1]|Black Label Society||235833|Metal|MPEG audio file
135|Super Terrorizer|Alcohol Fueled Brewtality Live! [Disc 1]|Black Label Society||319373|Metal|MPEG audio file
136|Phoney Smile Fake Hellos|Alcohol Fueled Brewtality Live! [Disc 1]|Black Label Society||273606|Metal|MPEG audio file
137|Lost My Better Half|Alcohol Fueled Brewtality Live! [Disc 1]|Black Label Society||284081|Metal|MPEG audio file
138|Bored To Tears|Alcohol Fueled Brewtality Live! [Disc 1]|Black Label Society||247327|Metal|MPEG audio file
139|A.N.D.R.O.T.A.Z.|Alcohol Fueled Brewtality Live! [Disc 1]|Black Label Society||266266|Metal|MPEG audio file
140|Born To Booze|Alcohol Fueled Brewtality Live! [Disc 1]|Black Label Society||282122|Metal|MPEG audio file
141|World Of Trouble|Alcohol Fueled Brewtality Live! [Disc 1]|Black Label Society||359157|Metal|MPEG audio file
142|No More Tears|Alcohol Fueled Brewtality Live! [Disc 1]|Black Label Society||555075|Metal|MPEG audio file
143|The Begining... At Last|Alcohol Fueled Brewtality Live! [Disc 1]|Black Label Society||365662|Metal|MPEG audio file
144|Heart Of Gold|Alcohol Fueled Brewtality Live! [Disc 2]|Black Label Society||194873|Metal|MPEG audio file
145|Snowblind|Alcohol Fueled Brewtality Live! [Disc 2]|Black Label Society||420022|Metal|MPEG audio file
146|Like A Bird|Alcohol Fueled Brewtality Live! [Disc 2]|Black Label Society||276532|Metal|MPEG audio file
147|Blood In The Wall|Alcohol Fueled Brewtality Live! [Disc 2]|Black Label Society||284368|Metal|MPEG audio file
148|The Beginning...At Last|Alcohol Fueled Brewtality Live! [Disc 2]|Black Label Society||271960|Metal|MPEG audio file
149|Black Sabbath|Black Sabbath|Black Sabbath||382066|Metal|MPEG audio file
150|The Wizard|Black Sabbath|Black Sabbath||264829|Metal|MPEG audio file
151|Behind The Wall Of Sleep|Black Sabbath|Black Sabbath||217573|Metal|MPEG audio file
152|N.I.B.|Black Sabbath|Black Sabbath||368770|Metal|MPEG audio file
153|Evil Woman|Black Sabbath|Black Sabbath||204930|Metal|MPEG audio file
154|Sleeping Village|Black Sabbath|Black Sabbath||644571|Metal|MPEG audio file
155|Warning|Black Sabbath|Black Sabbath||212062|Metal|MPEG audio file
156|Wheels Of Confusion / The Straightener|Black Sabbath Vol. 4 (Remaster)|Black Sabbath|Tony Iommi, Bill Ward, Geezer Butler, Ozzy Osbourne|494524|Metal|MPEG audio file
157|Tomorrow's Dream|Black Sabbath Vol. 4 (Remaster)|Black Sabbath|Tony Iommi, Bill Ward, Geezer Butler, Ozzy Osbourne|192496|Metal|MPEG audio file
158|Changes|Black Sabbath Vol. 4 (Remaster)|Black Sabbath|Tony Iommi, Bill Ward, Geezer Butler, Ozzy Osbourne|286275|Metal|MPEG audio file
159|FX|Black Sabbath Vol. 4 (Remaster)|Black Sabbath|Tony Iommi, Bill Ward, Geezer Butler, Ozzy Osbourne|103157|Metal|MPEG audio file
160|Supernaut|Black Sabbath Vol. 4 (Remaster)|Black Sabbath|Tony Iommi, Bill Ward, Geezer Butler, Ozzy Osbourne|285779|Metal|MPEG audio file
161|Snowblind|Black Sabbath Vol. 4 (Remaster)|Black Sabbath|Tony Iommi, Bill Ward, Geezer Butler, Ozzy Osbourne|331676|Metal|MPEG audio file
162|Cornucopia|Black Sabbath Vol. 4 (Remaster)|Black Sabbath|Tony Iommi, Bill Ward, Geezer Butler, Ozzy Osbourne|234814|Metal|MPEG audio file
163|Laguna Sunrise|Black Sabbath Vol. 4 (Remaster)|Black Sabbath|Tony Iommi, Bill Ward, Geezer Butler, Ozzy Osbourne|173087|Metal|MPEG audio file
164|St. Vitus Dance|Black Sabbath Vol. 4 (Remaster)|Black Sabbath|Tony Iommi, Bill Ward, Geezer Butler, Ozzy Osbourne|149655|Metal|MPEG audio file
165|Under The Sun/Every Day Comes and Goes|Black Sabbath Vol. 4 (Remaster)|Black Sabbath|Tony Iommi, Bill Ward, Geezer Butler, Ozzy Osbourne|350458|Metal|MPEG audio file
166|Smoked Pork|Body Count|Body Count||47333|Alternative & Punk|MPEG audio file
167|Body Count's In The House|Body Count|Body Count||204251|Alternative & Punk|MPEG audio file
168|Now Sports|Body Count|Body Count||4884|Alternative & Punk|MPEG audio file
169|Body Count|Body Count|Body Count||317936|Alternative & Punk|MPEG audio file
170|A Statistic|Body Count|Body Count||6373|Alternative & Punk|MPEG audio file
171|Bowels Of The Devil|Body Count|Body Count||223216|Alternative & Punk|MPEG audio file
172|The Real Problem|Body Count|Body Count||11650|Alternative & Punk|MPEG audio file
173|KKK Bitch|Body Count|Body Count||173008|Alternative & Punk|MPEG audio file
174|D Note|Body Count|Body Count||95738|Alternative & Punk|MPEG audio file
175|Voodoo|Body Count|Body Count||300721|Alternative & Punk|MPEG audio file
176|The Winner Loses|Body Count|Body Count||392254|Alternative & Punk|MPEG audio file
177|There Goes The Neighborhood|Body Count|Body Count||350171|Alternative & Punk|MPEG audio file
178|Oprah|Body Count|Body Count||6635|Alternative & Punk|MPEG audio file
179|Evil Dick|Body Count|Body Count||239020|Alternative & Punk|MPEG audio file
180|Body Count Anthem|Body Count|Body Count||166426|Alternative & Punk|MPEG audio file
181|Momma's Gotta Die Tonight|Body Count|Body Count||371539|Alternative & Punk|MPEG audio file
182|Freedom Of Speech|Body Count|Body Count||281234|Alternative & Punk|MPEG audio file
183|King In Crimson|Chemical Wedding|Bruce Dickinson|Roy Z|283167|Metal|MPEG audio file
184|Chemical Wedding|Chemical Wedding|Bruce Dickinson|Roy Z|246177|Metal|MPEG audio file
185|The Tower|Chemical Wedding|Bruce Dickinson|Roy Z|285257|Metal|MPEG audio file
186|Killing Floor|Chemical Wedding|Bruce Dickinson|Adrian Smith|269557|Metal|MPEG audio file
187|Book Of Thel|Chemical Wedding|Bruce Dickinson|Eddie Casillas/Roy Z|494393|Metal|MPEG audio file
188|Gates Of Urizen|Chemical Wedding|Bruce Dickinson|Roy Z|265351|Metal|MPEG audio file
189|Jerusalem|Chemical Wedding|Bruce Dickinson|Roy Z|402390|Metal|MPEG audio file
190|Trupets Of Jericho|Chemical Wedding|Bruce Dickinson|Roy Z|359131|Metal|MPEG audio file
191|Machine Men|Chemical Wedding|Bruce Dickinson|Adrian Smith|341655|Metal|MPEG audio file
192|The Alchemist|Chemical Wedding|Bruce Dickinson|Roy Z|509413|Metal|MPEG audio file
193|Realword|Chemical Wedding|Bruce Dickinson|Roy Z|237531|Metal|MPEG audio file
194|First Time I Met The Blues|The Best Of Buddy Guy - The Millenium Collection|Buddy Guy|Eurreal Montgomery|140434|Blues|MPEG audio file
195|Let Me Love You Baby|The Best Of Buddy Guy - The Millenium Collection|Buddy Guy|Willie Dixon|175386|Blues|MPEG audio file
196|Stone Crazy|The Best Of Buddy Guy - The Millenium Collection|Buddy Guy|Buddy Guy|433397|Blues|MPEG audio file
197|Pretty Baby|The Best Of Buddy Guy - The Millenium Collection|Buddy Guy|Willie Dixon|237662|Blues|MPEG audio file
198|When My Left Eye Jumps|The Best Of Buddy Guy - The Millenium Collection|Buddy Guy|Al Perkins/Willie Dixon|235311|Blues|MPEG audio file
199|Leave My Girl Alone|The Best Of Buddy Guy - The Millenium Collection|Buddy Guy|Buddy Guy|204721|Blues|MPEG audio file
200|She Suits Me To A Tee|The Best Of Buddy Guy - The Millenium Collection|Buddy Guy|Buddy Guy|136803|Blues|MPEG audio file
201|Keep It To Myself (Aka Keep It To Yourself)|The Best Of Buddy Guy - The Millenium Collection|Buddy Guy|Sonny Boy Williamson [I]|166060|Blues|MPEG audio file
202|My Time After Awhile|The Best Of Buddy Guy - The Millenium Collection|Buddy Guy|Robert Geddins/Ron Badger/Sheldon Feinberg|182491|Blues|MPEG audio file
203|Too Many Ways (Alternate)|The Best Of Buddy Guy - The Millenium Collection|Buddy Guy|Willie Dixon|135053|Blues|MPEG audio file
204|Talkin' 'Bout Women Obviously|The Best Of Buddy Guy - The Millenium Collection|Buddy Guy|Amos Blakemore/Buddy Guy|589531|Blues|MPEG audio file
205|Jorge Da Capadócia|Prenda Minha|Caetano Veloso|Jorge Ben|177397|Latin|MPEG audio file
206|Prenda Minha|Prenda Minha|Caetano Veloso|Tradicional|99369|Latin|MPEG audio file
207|Meditação|Prenda Minha|Caetano Veloso|Tom Jobim - Newton Mendoça|148793|Latin|MPEG audio file
208|Terra|Prenda Minha|Caetano Veloso|Caetano Veloso|482429|Latin|MPEG audio file
209|Eclipse Oculto|Prenda Minha|Caetano Veloso|Caetano Veloso|221936|Latin|MPEG audio file
210|"Texto ""Verdade Tropical"""|Prenda Minha|Caetano Veloso|Caetano Veloso|84088|Latin|MPEG audio file
211|Bem Devagar|Prenda Minha|Caetano Veloso|Gilberto Gil|133172|Latin|MPEG audio file
212|Drão|Prenda Minha|Caetano Veloso|Gilberto Gil|156264|Latin|MPEG audio file
213|Saudosismo|Prenda Minha|Caetano Veloso|Caetano Veloso|144326|Latin|MPEG audio file
214|Carolina|Prenda Minha|Caetano Veloso|Chico Buarque|181812|Latin|MPEG audio file
215|Sozinho|Prenda Minha|Caetano Veloso|Peninha|190589|Latin|MPEG audio file
216|Esse Cara|Prenda Minha|Caetano Veloso|Caetano Veloso|223111|Latin|MPEG audio file
217|Mel|Prenda Minha|Caetano Veloso|Caetano Veloso - Waly Salomão|294765|Latin|MPEG audio file
218|Linha Do Equador|Prenda Minha|Caetano Veloso|Caetano Veloso - Djavan|299337|Latin|MPEG audio file
219|Odara|Prenda Minha|Caetano Veloso|Caetano Veloso|141270|Latin|MPEG audio file
220|A Luz De Tieta|Prenda Minha|Caetano Veloso|Caetano Veloso|251742|Latin|MPEG audio file
221|Atrás Da Verd-E-Rosa Só Não Vai Quem Já Morreu|Prenda Minha|Caetano Veloso|David Corrêa - Paulinho Carvalho - Carlos Sena - Bira do Ponto|307252|Latin|MPEG audio file
222|Vida Boa|Prenda Minha|Caetano Veloso|Fausto Nilo - Armandinho|281730|Latin|MPEG audio file
223|Sozinho (Hitmakers Classic Mix)|Sozinho Remix Ao Vivo|Caetano Veloso||436636|Latin|MPEG audio file
224|Sozinho (Hitmakers Classic Radio Edit)|Sozinho Remix Ao Vivo|Caetano Veloso||195004|Latin|MPEG audio file
225|Sozinho (Caêdrum 'n' Bass)|Sozinho Remix Ao Vivo|Caetano Veloso||328071|Latin|MPEG audio file
226|Carolina|Minha Historia|Chico Buarque||163056|Latin|MPEG audio file
227|Essa Moça Ta Diferente|Minha Historia|Chico Buarque||167235|Latin|MPEG audio file
228|Vai Passar|Minha Historia|Chico Buarque||369763|Latin|MPEG audio file
229|Samba De Orly|Minha Historia|Chico Buarque||162429|Latin|MPEG audio file
230|Bye, Bye Brasil|Minha Historia|Chico Buarque||283402|Latin|MPEG audio file
231|Atras Da Porta|Minha Historia|Chico Buarque||189675|Latin|MPEG audio file
232|Tatuagem|Minha Historia|Chico Buarque||172120|Latin|MPEG audio file
233|O Que Será (À Flor Da Terra)|Minha Historia|Chico Buarque||167288|Latin|MPEG audio file
234|Morena De Angola|Minha Historia|Chico Buarque||186801|Latin|MPEG audio file
235|Apesar De Você|Minha Historia|Chico Buarque||234501|Latin|MPEG audio file
236|A Banda|Minha Historia|Chico Buarque||132493|Latin|MPEG audio file
237|Minha Historia|Minha Historia|Chico Buarque||182256|Latin|MPEG audio file
238|Com Açúcar E Com Afeto|Minha Historia|Chico Buarque||175386|Latin|MPEG audio file
239|Brejo Da Cruz|Minha Historia|Chico Buarque||214099|Latin|MPEG audio file
240|Meu Caro Amigo|Minha Historia|Chico Buarque||260257|Latin|MPEG audio file
241|Geni E O Zepelim|Minha Historia|Chico Buarque||317570|Latin|MPEG audio file
242|Trocando Em Miúdos|Minha Historia|Chico Buarque||169717|Latin|MPEG audio file
243|Vai Trabalhar Vagabundo|Minha Historia|Chico Buarque||139154|Latin|MPEG audio file
244|Gota D'água|Minha Historia|Chico Buarque||153208|Latin|MPEG audio file
245|Construção / Deus Lhe Pague|Minha Historia|Chico Buarque||383059|Latin|MPEG audio file
515|Meia-Lua Inteira|Minha Historia|Chico Buarque||222093|Latin|MPEG audio file
516|Voce e Linda|Minha Historia|Chico Buarque||242938|Latin|MPEG audio file
517|Um Indio|Minha Historia|Chico Buarque||195944|Latin|MPEG audio file
